,код класса,наименование класса,НоменклатураНаименование,НоменклатураНаименованиеПолное,НоменклатураРодитель,НоменклатураВидНоменклатуры,id,Наименование,n_abb,abb,upper_case,special,eng_letters,nums,version,n_tokens,level_0,level_1,level_2,level_3,level_4
330,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к наконечника 5320-3414008 (КАМАЗ) Р/к наконечника 5320-3414008 (КАМАЗ),Р/к наконечника 5320-3414008 (КАМАЗ),ЛВ КАМАЗ,Запчасти,102342,Р/к наконечника 5320-3414008 (КАМАЗ),2,1,2,8,0,1,1,8,1,4,5,8,52
331,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к паронит прокладок КПП 154 Р/к паронит прокладок КПП 154,Р/к паронит прокладок КПП 154,запчасти КАМАЗ,Запчасти,105954,Р/к паронит прокладок КПП 154,2,1,2,2,0,1,0,10,1,4,5,8,52
332,06.11.03,Багры пожарные,Багор пожарный Багор пожарный,Багор пожарный,Инструмент,Материал,19790,Багор пожарный,0,0,0,0,0,0,0,4,3,13,29,54,113
333,03.11.02.04,Мониторы,Монитор (Оргтехника) Монитор (Оргтехника),Монитор (Оргтехника),Мониторы,Основные средства,20251,Монитор (Оргтехника),0,0,0,4,0,0,0,4,0,0,1,1,1
334,03.11.02.04,Мониторы,Монитор (Оргтехника) Монитор (Оргтехника),Монитор (Оргтехника),Мониторы,Основные средства,20256,Монитор (Оргтехника),0,0,0,4,0,0,0,4,0,0,1,1,1
335,03.11.02.04,Мониторы,Монитор (Оргтехника) Монитор (Оргтехника),Монитор (Оргтехника),Мониторы,Основные средства,20261,Монитор (Оргтехника),0,0,0,4,0,0,0,4,0,0,1,1,1
336,06.04.03.01,Микрометры,Микрометр МК 150-175 Микрометр МК 150-175,Микрометр МК 150-175,ПРИБОРЫ,Материал,21077,Микрометр МК 150-175,0,0,2,2,0,1,1,6,3,12,27,50,109
337,06.04.03.01,Микрометры,Микрометр МК 25-50 Микрометр МК 25-50,Микрометр МК 25-50,ПРИБОРЫ,Материал,21080,Микрометр МК 25-50,0,0,2,2,0,1,1,6,3,12,27,50,109
338,06.04.03.01,Микрометры,Микрометр МК 325-375 Микрометр МК 325-375,Микрометр МК 325-375,ПРИБОРЫ,Материал,21083,Микрометр МК 325-375,0,0,2,2,0,1,1,6,3,12,27,50,109
339,06.04.03.01,Микрометры,Микрометр МК 50-75 Микрометр МК 50-75,Микрометр МК 50-75,ПРИБОРЫ,Материал,21086,Микрометр МК 50-75,0,0,2,2,0,1,1,6,3,12,27,50,109
340,05.19.03,Товары канцелярские,Доска магнитно-маркерная Доска магнитно-маркерная,Доска магнитно-маркерная,Товары канцелярские,Инвентарь и хоз.принадлежности (б/сч 10.09),17822,Доска магнитно-маркерная,0,0,0,2,0,0,0,4,2,9,15,20,79
341,04.22.01.04.23,Комплекты ремонтные транспортных средств,"Р/к прокладок на РК КАМАЗ (14 поз.), паронит, КАМРТИ 4310-Р-1802000 Р/к прокладок на РК КАМАЗ (14 поз.), паронит, КАМРТИ 4310-Р-1802000","Р/к прокладок на РК КАМАЗ (14 поз.), паронит, КАМРТИ 4310-Р-1802000",ЛВ КАМАЗ,Запчасти,105970,"Р/к прокладок на РК КАМАЗ (14 поз.), паронит, КАМРТИ 4310-Р-1802000",2,1,6,10,0,1,1,20,1,4,5,8,52
342,04.22.01.04.23,Комплекты ремонтные транспортных средств,"Р/к регулятора ч.в.(паронио,рти) 337-1111003-40 Р/к регулятора ч.в.(паронио,рти) 337-1111003-40","Р/к регулятора ч.в.(паронио,рти) 337-1111003-40",ЛВ КАМАЗ,Товар,105977,"Р/к регулятора ч.в.(паронио,рти) 337-1111003-40",2,1,0,10,0,1,1,8,1,4,5,8,52
343,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к сист.подкачки/Ростар/ 3124000-620Р Р/к сист.подкачки/Ростар/ 3124000-620Р,Р/к сист.подкачки/Ростар/ 3124000-620Р,ЛВ КАМАЗ,Запчасти,105987,Р/к сист.подкачки/Ростар/ 3124000-620Р,4,1,0,8,0,1,1,6,1,4,5,8,52
344,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/К системы охлаждения 740.1303018/19/99/172РК Р/К системы охлаждения 740.1303018/19/99/172РК,Р/К системы охлаждения 740.1303018/19/99/172РК,ЛВ КАМАЗ,Запчасти,105988,Р/К системы охлаждения 740.1303018/19/99/172РК,2,1,2,8,0,1,1,8,1,4,5,8,52
345,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к системы охлаждения 740-1303009 Р/к системы охлаждения 740-1303009,Р/к системы охлаждения 740-1303009,ЛВ КАМАЗ,Запчасти,105989,Р/к системы охлаждения 740-1303009,2,1,0,4,0,1,1,8,1,4,5,8,52
346,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/К СИСТЕМЫ ОХЛАЖДЕНИЯ ЕВРО-2 (РТИ+ПАР)8 ПОЗ 7406-1303000-01 Р/К СИСТЕМЫ ОХЛАЖДЕНИЯ ЕВРО-2 (РТИ+ПАР)8 ПОЗ 7406-1303000-01,Р/К СИСТЕМЫ ОХЛАЖДЕНИЯ ЕВРО-2 (РТИ+ПАР)8 ПОЗ 7406-1303000-01,ЛВ КАМАЗ,Запчасти,105990,Р/К СИСТЕМЫ ОХЛАЖДЕНИЯ ЕВРО-2 (РТИ+ПАР)8 ПОЗ 7406-1303000-01,2,1,12,12,0,1,1,14,1,4,5,8,52
347,04.22.01.04.23,Комплекты ремонтные транспортных средств,"Р/к ТНВД дв. ЯМЗ-8401, 850 (РТИ, паронит, медь) 185-Р-1111013 Р/к ТНВД дв. ЯМЗ-8401, 850 (РТИ, паронит, медь) 185-Р-1111013","Р/к ТНВД дв. ЯМЗ-8401, 850 (РТИ, паронит, медь) 185-Р-1111013",ЛВ КАМАЗ,Запчасти,106000,"Р/к ТНВД дв. ЯМЗ-8401, 850 (РТИ, паронит, медь) 185-Р-1111013",2,1,6,12,0,1,1,18,1,4,5,8,52
348,04.22.01.04.23,Комплекты ремонтные транспортных средств,"Р/к ТНВД ЕВРО (4 поз.), паронит, КАМРТИ 332/337-Р-1111000-40 Р/к ТНВД ЕВРО (4 поз.), паронит, КАМРТИ 332/337-Р-1111000-40","Р/к ТНВД ЕВРО (4 поз.), паронит, КАМРТИ 332/337-Р-1111000-40",ЛВ КАМАЗ,Товар,106002,"Р/к ТНВД ЕВРО (4 поз.), паронит, КАМРТИ 332/337-Р-1111000-40",2,1,6,14,0,1,1,16,1,4,5,8,52
349,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к топливного фильтра (3 поз.) КАМРТИ 740-Р-1117000 Р/к топливного фильтра (3 поз.) КАМРТИ 740-Р-1117000,Р/к топливного фильтра (3 поз.) КАМРТИ 740-Р-1117000,ЛВ КАМАЗ,Запчасти,106004,Р/к топливного фильтра (3 поз.) КАМРТИ 740-Р-1117000,2,1,2,10,0,1,1,14,1,4,5,8,52
350,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к топливного фильтра 740-1117010 Р/к топливного фильтра 740-1117010,Р/к топливного фильтра 740-1117010,ЛВ КАМАЗ,Запчасти,109348,Р/к топливного фильтра 740-1117010,2,1,0,4,0,1,1,8,1,4,5,8,52
351,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/К тормозной колодки 53205-3501105 Р/К тормозной колодки 53205-3501105,Р/К тормозной колодки 53205-3501105,запчасти КАМАЗ,Запчасти,109355,Р/К тормозной колодки 53205-3501105,2,1,0,4,0,1,1,8,1,4,5,8,52
352,04.22.01.04.23,Комплекты ремонтные транспортных средств,"Р/к тормозной колодки 53229 (ООО механизмы ""АККОР"")53229-3501105-СР Р/к тормозной колодки 53229 (ООО механизмы ""АККОР"")53229-3501105-СР","Р/к тормозной колодки 53229 (ООО механизмы ""АККОР"")53229-3501105-СР",ЛВ КАМАЗ,Запчасти,109356,"Р/к тормозной колодки 53229 (ООО механизмы ""АККОР"")53229-3501105-СР",2,1,6,10,0,1,1,14,1,4,5,8,52
353,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к тормозной трубки d=10 d10 Р/к тормозной трубки d=10 d10,Р/к тормозной трубки d=10 d10,ЛВ КАМАЗ,Запчасти,109358,Р/к тормозной трубки d=10 d10,2,1,0,2,1,1,1,10,1,4,5,8,52
354,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к тормозной трубки d=12 Р/к тормозной трубки d=12,Р/к тормозной трубки d=12,ЛВ КАМАЗ,Запчасти,109359,Р/к тормозной трубки d=12,2,1,0,2,1,1,0,8,1,4,5,8,52
355,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к тормозной трубки d=8 Р/к тормозной трубки d=8,Р/к тормозной трубки d=8,ЛВ КАМАЗ,Запчасти,109360,Р/к тормозной трубки d=8,2,1,0,2,1,1,0,8,1,4,5,8,52
356,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к тормозных колодок КАМАЗ (ВАТИ) 53229-3501105-КАС Р/к тормозных колодок КАМАЗ (ВАТИ) 53229-3501105-КАС,Р/к тормозных колодок КАМАЗ (ВАТИ) 53229-3501105-КАС,ЛВ КАМАЗ,Запчасти,109362,Р/к тормозных колодок КАМАЗ (ВАТИ) 53229-3501105-КАС,2,1,6,10,0,1,1,12,1,4,5,8,52
357,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к тормозных колодок КАМАЗ после 2013 г (ТИИР) 53205-3501105-51 Р/к тормозных колодок КАМАЗ после 2013 г (ТИИР) 53205-3501105-51,Р/к тормозных колодок КАМАЗ после 2013 г (ТИИР) 53205-3501105-51,ЛВ КАМАЗ,Запчасти,109363,Р/к тормозных колодок КАМАЗ после 2013 г (ТИИР) 53205-3501105-51,2,1,4,10,0,1,1,18,1,4,5,8,52
358,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к тормозных колодок КАМАЗ с разными накладками(на одну ось) 53205-3501105-51К Р/к тормозных колодок КАМАЗ с разными накладками(на одну ось) 53205-3501105-51К,Р/к тормозных колодок КАМАЗ с разными накладками(на одну ось) 53205-3501105-51К,ЛВ КАМАЗ,Запчасти,109364,Р/к тормозных колодок КАМАЗ с разными накладками(на одну ось) 53205-3501105-51К,2,1,2,10,0,1,1,20,1,4,5,8,52
359,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к трубки ПВХ d=10*1(фитинг)осевой PUC 10 Р/к трубки ПВХ d=10*1(фитинг)осевой PUC 10,Р/к трубки ПВХ d=10*1(фитинг)осевой PUC 10,ЛВ КАМАЗ,Запчасти,109366,Р/к трубки ПВХ d=10*1(фитинг)осевой PUC 10,2,1,4,8,1,1,1,12,1,4,5,8,52
360,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к трубки ПВХ d=12*1(фитинг)осевой PUC 12 Р/к трубки ПВХ d=12*1(фитинг)осевой PUC 12,Р/к трубки ПВХ d=12*1(фитинг)осевой PUC 12,ЛВ КАМАЗ,Запчасти,109368,Р/к трубки ПВХ d=12*1(фитинг)осевой PUC 12,2,1,4,8,1,1,1,12,1,4,5,8,52
361,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к трубки ПВХ d=14*1 (фитинг) осевой PUC 14 Р/к трубки ПВХ d=14*1 (фитинг) осевой PUC 14,Р/к трубки ПВХ d=14*1 (фитинг) осевой PUC 14,ЛВ КАМАЗ,Запчасти,109369,Р/к трубки ПВХ d=14*1 (фитинг) осевой PUC 14,2,1,4,8,1,1,1,16,1,4,5,8,52
362,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к трубки ПВХ d=6*1(фитинг)осевой PUC 06 Р/к трубки ПВХ d=6*1(фитинг)осевой PUC 06,Р/к трубки ПВХ d=6*1(фитинг)осевой PUC 06,ЛВ КАМАЗ,Запчасти,109370,Р/к трубки ПВХ d=6*1(фитинг)осевой PUC 06,2,1,4,8,1,1,1,12,1,4,5,8,52
363,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к трубки ПВХ d=8*1(фитинг)осевой PUC 08 Р/к трубки ПВХ d=8*1(фитинг)осевой PUC 08,Р/к трубки ПВХ d=8*1(фитинг)осевой PUC 08,ЛВ КАМАЗ,Запчасти,109371,Р/к трубки ПВХ d=8*1(фитинг)осевой PUC 08,2,1,4,8,1,1,1,12,1,4,5,8,52
364,04.22.01.04.23,Комплекты ремонтные транспортных средств,"Р/к турбокомпрессоров ТКР7С, ТКР7Р (6 наим.) 7403-Р-1118009-02 Р/к турбокомпрессоров ТКР7С, ТКР7Р (6 наим.) 7403-Р-1118009-02","Р/к турбокомпрессоров ТКР7С, ТКР7Р (6 наим.) 7403-Р-1118009-02",ЛВ КАМАЗ,Запчасти,109374,"Р/к турбокомпрессоров ТКР7С, ТКР7Р (6 наим.) 7403-Р-1118009-02",2,1,4,12,0,1,1,14,1,4,5,8,52
365,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к ФГОТ 236-1105001 Р/к ФГОТ 236-1105001,Р/к ФГОТ 236-1105001,запчасти КАМАЗ,Запчасти,109380,Р/к ФГОТ 236-1105001,2,1,2,4,0,1,1,6,1,4,5,8,52
366,03.11.02.04,Мониторы,"Монитор 15 ""PHILIPS 150S6FS Монитор 15 ""PHILIPS 150S6FS","Монитор 15 ""PHILIPS 150S6FS",Оборудование (объекты основных средств),Материал,22701,"Монитор 15 ""PHILIPS 150S6FS",0,0,4,0,1,1,1,8,0,0,1,1,1
367,03.11.02.04,Мониторы,Монитор 17' LG 1718S TFT Монитор 17' LG 1718S TFT,Монитор 17' LG 1718S TFT,ОСНОВНЫЕ <10000,Материал,22706,Монитор 17' LG 1718S TFT,0,0,4,0,1,1,1,10,0,0,1,1,1
368,03.11.02.04,Мониторы,Монитор 17' TFT ViewSonic VA1716w Монитор 17' TFT ViewSonic VA1716w,Монитор 17' TFT ViewSonic VA1716w,ОСНОВНЫЕ <10000,Материал,22709,Монитор 17' TFT ViewSonic VA1716w,0,0,4,0,1,1,1,10,0,0,1,1,1
369,05.19.03,Товары канцелярские,Доска магнитно-маркерная Доска магнитно-маркерная,Доска магнитно-маркерная,Товары канцелярские,Инвентарь и хоз.принадлежности (б/сч 10.09),17824,Доска магнитно-маркерная,0,0,0,2,0,0,0,4,2,9,15,20,79
370,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к фильтра масл.Камаз Р/к фильтра масл.Камаз,Р/к фильтра масл.Камаз,запчасти КАМАЗ,Запчасти,109381,Р/к фильтра масл.Камаз,2,1,0,2,0,0,0,6,1,4,5,8,52
371,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к фильтра топливного 740.1117000 Р/к фильтра топливного 740.1117000,Р/к фильтра топливного 740.1117000,запчасти КАМАЗ,Запчасти,109386,Р/к фильтра топливного 740.1117000,2,1,0,2,0,1,1,8,1,4,5,8,52
372,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к ФТОТ 236-1117001 Р/к ФТОТ 236-1117001,Р/к ФТОТ 236-1117001,запчасти КАМАЗ,Запчасти,109388,Р/к ФТОТ 236-1117001,2,1,2,4,0,1,1,6,1,4,5,8,52
373,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к ФТОТ КАМАЗ (силикон+NBR) зеленый/черный (ОРИОН) КАМАЗ-Р-1111007-CNBR Р/к ФТОТ КАМАЗ (силикон+NBR) зеленый/черный (ОРИОН) КАМАЗ-Р-1111007-CNBR,Р/к ФТОТ КАМАЗ (силикон+NBR) зеленый/черный (ОРИОН) КАМАЗ-Р-1111007-CNBR,ЛВ КАМАЗ,Запчасти,109389,Р/к ФТОТ КАМАЗ (силикон+NBR) зеленый/черный (ОРИОН) КАМАЗ-Р-1111007-CNBR,4,1,12,18,1,1,1,14,1,4,5,8,52
374,04.22.01.04.23,Комплекты ремонтные транспортных средств,Р/к шкворня 53205-3001101 Р/к шкворня 53205-3001101,Р/к шкворня 53205-3001101,запчасти КАМАЗ,Запчасти,109397,Р/к шкворня 53205-3001101,2,1,0,4,0,1,1,6,1,4,5,8,52
375,04.22.01.02.26,Коробки передач транспортных средств,З/Ч  Газ-53: Коробка перемены передач З/Ч  Газ-53: Коробка перемены передач,З/Ч  Газ-53: Коробка перемены передач,З/ЧАСТИ Газ-53,Материал,1633,З/Ч  Газ-53: Коробка перемены передач,2,1,0,4,0,1,1,12,1,4,5,6,13
376,04.22.01.02.29,Крепеж транспортных средств,З/Ч  Газ-53: Гайка 2-го вала З/Ч  Газ-53: Гайка 2-го вала,З/Ч  Газ-53: Гайка 2-го вала,З/ЧАСТИ Газ-53,Материал,117,З/Ч  Газ-53: Гайка 2-го вала,2,1,0,6,0,1,1,12,1,4,5,6,14
377,04.22.01.02.29,Крепеж транспортных средств,З/Ч  Газ-53: Гайка вилки сцепления З/Ч  Газ-53: Гайка вилки сцепления,З/Ч  Газ-53: Гайка вилки сцепления,З/ЧАСТИ Газ-53,Материал,118,З/Ч  Газ-53: Гайка вилки сцепления,2,1,0,4,0,1,1,12,1,4,5,6,14
378,04.22.01.02.29,Крепеж транспортных средств,З/Ч  Газ-53: Гайка вторичного вала КПП (передня синхоризир.) З/Ч  Газ-53: Гайка вторичного вала КПП (передня синхоризир.),З/Ч  Газ-53: Гайка вторичного вала КПП (передня синхоризир.),З/ЧАСТИ Газ-53,Материал,1613,З/Ч  Газ-53: Гайка вторичного вала КПП (передня синхоризир.),2,1,2,8,0,1,1,18,1,4,5,6,14
379,04.22.01.02.29,Крепеж транспортных средств,"З/Ч  Газ-53: Гайка М20*1,5 левая З/Ч  Газ-53: Гайка М20*1,5 левая","З/Ч  Газ-53: Гайка М20*1,5 левая",З/ЧАСТИ Газ-53,Материал,1614,"З/Ч  Газ-53: Гайка М20*1,5 левая",2,1,0,6,0,1,1,12,1,4,5,6,14
380,04.22.01.02.29,Крепеж транспортных средств,"З/Ч  Газ-53: Гайка М20*1,5 правая З/Ч  Газ-53: Гайка М20*1,5 правая","З/Ч  Газ-53: Гайка М20*1,5 правая",З/ЧАСТИ Газ-53,Материал,1615,"З/Ч  Газ-53: Гайка М20*1,5 правая",2,1,0,6,0,1,1,12,1,4,5,6,14
381,04.22.01.02.29,Крепеж транспортных средств,З/Ч  Газ-53: Гайка переднего колеса З/Ч  Газ-53: Гайка переднего колеса,З/Ч  Газ-53: Гайка переднего колеса,З/ЧАСТИ Газ-53,Материал,1616,З/Ч  Газ-53: Гайка переднего колеса,2,1,0,4,0,1,1,12,1,4,5,6,14
382,04.22.01.04.29,Крепеж транспортных средств,З/Ч а/м Камаз: Болт колеса заднего М22*1.5*95  53205-3104071 З/Ч а/м Камаз: Болт колеса заднего М22*1.5*95  53205-3104071,З/Ч а/м Камаз: Болт колеса заднего М22*1.5*95  53205-3104071,З/ЧАСТИ КАМАЗ,Материал,16530,З/Ч а/м Камаз: Болт колеса заднего М22*1.5*95  53205-3104071,4,1,0,10,0,1,1,18,1,4,5,8,53
383,04.22.01.04.29,Крепеж транспортных средств,"З/Ч а/м Камаз: Болт М12*1,25*40 в сб. карданного вала З/Ч а/м Камаз: Болт М12*1,25*40 в сб. карданного вала","З/Ч а/м Камаз: Болт М12*1,25*40 в сб. карданного вала",З/ЧАСТИ КАМАЗ,Материал,16531,"З/Ч а/м Камаз: Болт М12*1,25*40 в сб. карданного вала",4,1,0,8,0,1,1,18,1,4,5,8,53
384,04.22.01.04.29,Крепеж транспортных средств,"З/Ч а/м Камаз: Болт М14*1,5*40 карданный в сб З/Ч а/м Камаз: Болт М14*1,5*40 карданный в сб","З/Ч а/м Камаз: Болт М14*1,5*40 карданный в сб",З/ЧАСТИ КАМАЗ,Материал,16532,"З/Ч а/м Камаз: Болт М14*1,5*40 карданный в сб",4,1,0,8,0,1,1,16,1,4,5,8,53
385,04.22.01.04.29,Крепеж транспортных средств,З/Ч а/м Камаз: Гайка колеса З/Ч а/м Камаз: Гайка колеса,З/Ч а/м Камаз: Гайка колеса,З/ЧАСТИ КАМАЗ,Материал,18061,З/Ч а/м Камаз: Гайка колеса,4,1,0,4,0,0,0,10,1,4,5,8,53
386,04.22.01.04.29,Крепеж транспортных средств,"З/Ч а/м Камаз: Гайка М 12*1,25 З/Ч а/м Камаз: Гайка М 12*1,25","З/Ч а/м Камаз: Гайка М 12*1,25",З/ЧАСТИ КАМАЗ,Материал,18062,"З/Ч а/м Камаз: Гайка М 12*1,25",4,1,0,6,0,1,1,12,1,4,5,8,53
387,04.22.01.04.29,Крепеж транспортных средств,"З/Ч а/м Камаз: Гайка М24*1,5 З/Ч а/м Камаз: Гайка М24*1,5","З/Ч а/м Камаз: Гайка М24*1,5",З/ЧАСТИ КАМАЗ,Материал,18063,"З/Ч а/м Камаз: Гайка М24*1,5",4,1,0,6,0,1,1,10,1,4,5,8,53
388,04.22.01.04.29,Крепеж транспортных средств,"З/Ч а/м Камаз: Гайка М27*1,5 пальца з/рессоры З/Ч а/м Камаз: Гайка М27*1,5 пальца з/рессоры","З/Ч а/м Камаз: Гайка М27*1,5 пальца з/рессоры",З/ЧАСТИ КАМАЗ,Материал,18064,"З/Ч а/м Камаз: Гайка М27*1,5 пальца з/рессоры",6,1,0,8,0,1,1,14,1,4,5,8,53
389,04.22.01.04.29,Крепеж транспортных средств,"З/Ч а/м Камаз: Гайка М30*1,5 реактивной штанги З/Ч а/м Камаз: Гайка М30*1,5 реактивной штанги","З/Ч а/м Камаз: Гайка М30*1,5 реактивной штанги",З/ЧАСТИ КАМАЗ,Материал,18065,"З/Ч а/м Камаз: Гайка М30*1,5 реактивной штанги",4,1,0,6,0,1,1,14,1,4,5,8,53
390,04.22.01.04.29,Крепеж транспортных средств,"З/Ч а/м Камаз: Гайка М33*1,5 корончатая реактив.штанги Евро З/Ч а/м Камаз: Гайка М33*1,5 корончатая реактив.штанги Евро","З/Ч а/м Камаз: Гайка М33*1,5 корончатая реактив.штанги Евро",З/ЧАСТИ КАМАЗ,Материал,18066,"З/Ч а/м Камаз: Гайка М33*1,5 корончатая реактив.штанги Евро",4,1,0,6,0,1,1,16,1,4,5,8,53
391,03.11.02.04,Мониторы,"Монитор 17"" Samsung 710N SKS Монитор 17"" Samsung 710N SKS","Монитор 17"" Samsung 710N SKS",КОМПЬЮТЕРЫ И КОМПЛ,Материал,24270,"Монитор 17"" Samsung 710N SKS",0,0,2,0,1,1,1,10,0,0,1,1,1
392,03.11.02.04,Мониторы,Монитор 18.5 AOC Монитор 18.5 AOC,Монитор 18.5 AOC,ВИДЕОНАБЛЮДЕНИЕ,Материал,24276,Монитор 18.5 AOC,0,0,2,0,1,1,1,6,0,0,1,1,1
393,03.11.02.04,Мониторы,"Монитор 19""  TFT Acer B193 Монитор 19""  TFT Acer B193","Монитор 19""  TFT Acer B193",ОСНОВНЫЕ <10000,Материал,24279,"Монитор 19""  TFT Acer B193",0,0,2,0,1,1,1,12,0,0,1,1,1
394,03.11.02.04,Мониторы,"Монитор 19""  TFT ASUS VW191S Монитор 19""  TFT ASUS VW191S","Монитор 19""  TFT ASUS VW191S",ОСНОВНЫЕ <10000,Материал,24283,"Монитор 19""  TFT ASUS VW191S",0,0,6,0,1,1,1,12,0,0,1,1,1
395,03.11.02.04,Мониторы,Монитор 19.5 PHILIPS Монитор 19.5 PHILIPS,Монитор 19.5 PHILIPS,ОСНОВНЫЕ <10000,Материал,24288,Монитор 19.5 PHILIPS,0,0,2,0,1,1,1,6,0,0,1,1,1
396,03.11.02.04,Мониторы,"Монитор 20""  TFT Aser V203HCb Монитор 20""  TFT Aser V203HCb","Монитор 20""  TFT Aser V203HCb",ОСНОВНЫЕ <10000,Материал,24292,"Монитор 20""  TFT Aser V203HCb",0,0,4,0,1,1,1,12,0,0,1,1,1
397,03.11.02.04,Мониторы,"Монитор 21,5 LG22MP58D-P Монитор 21,5 LG22MP58D-P","Монитор 21,5 LG22MP58D-P",КОМПЬЮТЕРЫ И КОМПЛ,Материал,24297,"Монитор 21,5 LG22MP58D-P",0,0,4,2,1,1,1,6,0,0,1,1,1
398,03.11.02.04,Мониторы,"Монитор 21,5""  TFT Aser A221QBb Монитор 21,5""  TFT Aser A221QBb","Монитор 21,5""  TFT Aser A221QBb",ОСНОВНЫЕ <10000,Материал,24302,"Монитор 21,5""  TFT Aser A221QBb",0,0,4,0,1,1,1,12,0,0,1,1,1
399,03.11.02.04,Мониторы,"Монитор 21,5"" Philips Монитор 21,5"" Philips","Монитор 21,5"" Philips",ОСНОВНЫЕ <10000,Материал,24306,"Монитор 21,5"" Philips",0,0,0,0,1,1,0,6,0,0,1,1,1
400,03.11.02.04,Мониторы,"Монитор 21,5"" Philips 227E4 QSD/01 Монитор 21,5"" Philips 227E4 QSD/01","Монитор 21,5"" Philips 227E4 QSD/01",ОСНОВНЫЕ <10000,Материал,24311,"Монитор 21,5"" Philips 227E4 QSD/01",0,0,2,2,1,1,1,10,0,0,1,1,1
401,03.11.02.04,Мониторы,"Монитор 23""  Aser P235HLbbmii Монитор 23""  Aser P235HLbbmii","Монитор 23""  Aser P235HLbbmii",ОСНОВНЫЕ <10000,Материал,24319,"Монитор 23""  Aser P235HLbbmii",0,0,2,0,1,1,1,10,0,0,1,1,1
402,05.19.03,Товары канцелярские,Доска магнитно-маркерная Доска магнитно-маркерная,Доска магнитно-маркерная,Канцтовары,Материал,88478,Доска магнитно-маркерная,0,0,0,2,0,0,0,4,2,9,15,20,79
403,05.19.03,Товары канцелярские,Дырокол Дырокол,Дырокол,Товары канцелярские,Прочие материалы (б/сч 10.06),24483,Дырокол,0,0,0,0,0,0,0,2,2,9,15,20,79
404,05.19.03,Товары канцелярские,Дырокол Дырокол,Дырокол,Товары канцелярские,Прочие материалы (б/сч 10.06),24486,Дырокол,0,0,0,0,0,0,0,2,2,9,15,20,79
405,05.19.03,Товары канцелярские,Дырокол Дырокол,Дырокол,Товары канцелярские,Прочие материалы (б/сч 10.06),24489,Дырокол,0,0,0,0,0,0,0,2,2,9,15,20,79
406,05.19.03,Товары канцелярские,дырокол дырокол,дырокол,Канцтовары,Материал,90422,дырокол,0,0,0,0,0,0,0,2,2,9,15,20,79
407,05.19.03,Товары канцелярские,Дырокол Дырокол,Дырокол,Канц. товары,Канц. товары,131359,Дырокол,0,0,0,0,0,0,0,2,2,9,15,20,79
408,05.19.03,Товары канцелярские,Дырокол KW-trio «Stylish Heavy Duty на 40л Дырокол KW-trio «Stylish Heavy Duty на 40л,Дырокол KW-trio «Stylish Heavy Duty на 40л,25.9 Канцтовары (новый),Материал,121244,Дырокол KW-trio «Stylish Heavy Duty на 40л,0,0,2,2,1,1,1,14,2,9,15,20,79
409,05.19.03,Товары канцелярские,Дырокол метал. Дырокол метал.,Дырокол метал.,Канц. товары,Канц. товары,131360,Дырокол метал.,0,0,0,0,0,0,0,4,2,9,15,20,79
410,05.19.03,Товары канцелярские,Дырокол усиленный Дырокол усиленный,Дырокол усиленный,Товары канцелярские,Прочие материалы (б/сч 10.06),24491,Дырокол усиленный,0,0,0,0,0,0,0,4,2,9,15,20,79
411,06.11.05,Ведра пожарные,Ведро пожарное Ведро пожарное,Ведро пожарное,Оборудование пожарное,Прочие материалы (б/сч 10.06),24544,Ведро пожарное,0,0,0,0,0,0,0,4,3,13,30,55,114
412,06.11.05,Ведра пожарные,Ведро пожарное Ведро пожарное,Ведро пожарное,Оборудование пожарное,Прочие материалы (б/сч 10.06),24545,Ведро пожарное,0,0,0,0,0,0,0,4,3,13,30,55,114
413,05.19.03,Товары канцелярские,Ежедневник Ежедневник,Ежедневник,Товары канцелярские,Прочие материалы (б/сч 10.06),24503,Ежедневник,0,0,0,0,0,0,0,2,2,9,15,20,79
